"","EEF1A1","COL1A1","ACTB","FN1","COL1A2","COL3A1","ACTG1","FTH1","TPT1","SPARC","UBC","B2M","EEF2","GAPDH","RPL3","AHNAK","XBP1","HSP90AB1","HSP90AA1","RPS4X","RPLP0","PSAP","PABPC1","RPL13A","EEF1G","RPS18","RPL41","RPS6","FTL","CD74","RPL10","HSPA8","RPS3A","RPL7","MGP","RPL4","GNAS","MYH9","TMSL3","RPS2","YWHAZ","TMBIM6","HLA-B","ALDOA","ADAM6","APP","PTMA","RPL8","RPL7A","CD24","GLUL","EIF4G2","COL6A3","PPIA","RPL15","VIM","POSTN","RPS24","RPLP1","GNB2L1","HNRNPA1","RPL9","CANX","TUBB","HLA-C","KRT8","RPS11","HSP90B1","PKM2","P4HB","C4A","RPS3","H3F3A","RPL6","RPL19","ANXA2","ITGB1","RPS8","CTSB","CALR","TUBA1B","HLA-A","RPL5","CTSD","RPL23A","FLNA","HSPA5","HNRNPA2B1","TIMP3","NPM1","RPS27","HNRNPK","TPM4","CSDE1","CLTC","JUP","PDIA3","RPL32","TMSB10","RPL30","DSP","NACA","ENO1","CFL1","RPSA","HDLBP","RPL12","MYL6","RPL11","RPL27A","KRT18","RPS12","AZGP1","RPL13","RPS20","HNRNPU","LDHA","DHCR24","IGFBP5","H3F3B","NCL","RPS23","UBB","ATP1A1","CALM2","SLC39A6","A2M","KRT19","RPL26","RPL29","TAGLN2","EIF4B","DDX5","RPS27A","PTPRF","APLP2","LOC647979","THBS1","HNRNPC","DCN","RPL23","SRRM2","LUM","IGFBP4","PCBP2","FLNB","RPS15A","RPL10A","RHOA","RPS14","SCD","ARF1","COL6A2","RPS7","RPS17","RPL39","ADAR","RPL21","CD59","BGN","EIF4A1","NUCKS1","RPL17","TPM3","HLA-DRA","RPL31","FASN","MAGED2","TXNIP","ATP5B","YWHAE","RPL37","RPL22","RPL14","AEBP1","RPL37A","HMGB1","CTNNB1","DSTN","GANAB","CD164","ITM2B","DDX17","COL6A1","CDH1","DYNC1H1","RPL24","CTNNA1","RPS10","CLU","RPL18A","RPS19","SERPINA3","BTF3","EIF1","RPS25","CD63","RPS9","SET","GATA3"
"TCGA-A8-A09N-01A-11R-A00Z-07",701448,785474,400450,315373,505531,473551,231630,206010,98590,184237,259844,126606,189450,239882,146482,198106,264235,305586,132268,156754,170776,142915,163908,116473,144011,110744,187246,65522,82768,86720,128089,175588,119318,99275,209138,87455,135176,185478,29840,108020,104783,189714,146186,196178,53131,20748,98383,112153,86451,82095,65170,117922,130009,116696,96747,43947,167702,77157,136813,99566,112821,79052,155013,104538,146465,406737,53061,118238,70272,69776,365715,70492,66065,82906,44538,129394,62438,62070,63986,90495,92699,93620,62990,101463,34653,62086,114626,73747,53225,87612,35848,96709,25121,76771,60645,104763,66586,57776,63035,73970,34752,115011,80063,89975,77943,61357,53381,131952,46596,52588,262764,45710,87408,48133,45746,58344,86248,203055,392081,30835,65609,47037,63865,67479,41991,27391,32211,130643,34346,58534,31372,90327,39570,26950,79308,41273,67313,73277,58150,46110,32654,67774,56907,68234,64484,183154,42536,63198,67512,54599,337471,74460,70828,23813,36445,41834,49846,28197,39469,38647,47758,84659,28500,45321,31815,26765,164286,196761,20813,105691,54613,36141,40630,47546,45619,27096,38729,68308,94207,77218,46867,27940,46451,93900,64759,43055,40621,61144,54616,61683,24281,34687,16870,62071,32796,34467,43429,45376,48543,57839
"TCGA-A8-A09Q-01A-11R-A00Z-07",1584262,550596,500760,1146153,415546,405268,474268,346447,249562,209035,153550,250086,679203,173509,453435,376303,313751,467296,219815,273797,231734,345351,665807,491115,353208,436963,350326,309410,318337,360865,306064,322075,284591,461226,20891,282928,130690,210220,263043,285598,281670,123370,136947,93061,843975,79489,140700,572592,204315,29877,94476,154317,208453,231019,401983,94330,196670,235387,156001,201150,143056,143949,159217,160224,86365,142235,230039,107997,110282,92071,746533,141954,114902,213685,163854,62544,72868,170124,230026,148175,109300,95386,140062,145137,283707,142561,96257,121003,138939,137549,121078,101407,83870,82424,166408,125971,99492,219646,71578,299821,52873,120212,112708,162254,253423,96385,112192,104503,113795,161325,103832,303153,218280,123088,166604,81368,132149,81927,2287304,58708,96843,167509,176028,77235,64895,29244,119605,151341,144988,236105,72226,110422,107939,93236,66317,131488,81805,71784,86318,57231,123937,96020,76662,81302,69363,197632,108604,151835,100866,186157,475138,78749,83046,86403,134215,111297,60824,67829,60847,52422,120454,72085,86283,56426,216593,93540,199003,514236,59009,122119,82027,128628,100541,194479,62622,137171,45837,93938,65317,84251,75759,46063,55099,71727,37857,75919,98555,41387,126059,21574,118985,114192,85245,106561,63673,118806,56780,109227,52675,65328
"TCGA-A8-A09R-01A-11R-A00Z-07",825962,1935092,478350,2237137,1464692,1215618,607357,309238,194741,527506,347070,579741,272712,367733,126716,268116,189558,340848,345997,99505,112703,284917,152258,108636,69570,78635,119222,70724,218777,603284,115886,311316,65304,82487,141696,96616,233762,279395,131896,72179,162743,170197,425246,195851,114595,108756,76149,100385,81947,276069,199098,192876,379252,129226,92841,143653,349543,60102,92543,87010,91187,61651,175558,101954,236640,209369,78274,96533,175044,138052,48445,50493,108938,57850,108337,139344,110028,45248,160025,90885,113694,350764,41674,98229,96999,138699,97418,95392,173290,87436,74588,112849,85927,72105,228276,179236,81422,54393,73620,56610,82081,55198,94224,92515,73212,90086,42888,89845,38224,45481,111427,42753,93130,38181,49769,89147,93743,84813,719123,89944,85547,48405,112877,133136,102395,361204,75349,162369,43350,55292,106590,64474,119475,47009,89409,67418,103800,267103,80943,86532,60736,76318,120082,62989,67032,99292,34866,37080,102436,55524,122597,101272,169698,36448,38826,42893,175689,42567,103899,119533,66411,85699,49529,73677,208702,38465,170560,107162,67017,73463,55200,41800,35058,41477,174419,42271,56695,91345,66367,46861,58346,62114,54628,202775,134041,104021,41408,114579,35682,319936,40792,39877,106890,50671,86012,29306,62922,42375,51793,120642
"TCGA-A8-A09V-01A-11R-A034-07",1930919,1368298,362313,1016180,1254550,1051249,294691,225289,353949,620054,181941,116203,286463,93042,288716,655640,414473,160790,189625,202030,128151,144992,140433,187926,169118,137871,174849,184615,84804,109265,143896,148791,194073,120256,155714,152494,95096,217484,96230,113740,104496,214702,71347,95610,188855,185969,158441,104210,114507,138699,374382,97312,262847,89065,121173,85597,152401,120502,129000,102202,130725,114558,130305,98464,78203,76042,108619,98711,172626,62356,150189,104952,161802,100490,85024,73584,91485,104813,90899,61800,84062,55785,108981,74216,85112,78899,66496,138037,122880,77682,117078,120709,115396,106268,90863,97232,48664,86581,58010,60976,187300,84051,48598,60391,56658,91381,102718,74815,83514,67576,58897,87621,95478,51666,50807,151769,42943,103288,77457,77008,79601,84863,78094,75326,107812,337342,45935,64547,84825,75522,70828,102697,99897,71086,111319,118554,126662,86637,99530,176273,67239,211566,164356,166320,95635,264321,66242,85294,50102,67250,11094,71776,86756,48922,64455,45562,110517,82444,55713,107640,47164,128153,74609,90716,59255,78360,104160,96756,103279,44896,85802,65293,81170,76633,132612,62171,59029,94534,59662,69859,84982,60498,175408,102706,6966,96152,48542,64044,50308,37411,49176,39306,57649,68326,47299,54594,42860,66153,56094,104749
"TCGA-A8-A09W-01A-11R-A00Z-07",690937,201775,225364,273557,239921,231539,301105,194042,144916,192983,155081,140737,211659,338829,111084,149422,86177,149863,162440,147026,226585,120706,277919,114476,207473,152542,137669,78177,141375,92431,91848,133368,145468,147074,40087,62054,71594,44054,62828,102756,197754,101640,39867,124128,34804,48188,96707,89382,148757,26310,156092,89827,57437,111184,84402,45266,127628,89269,65856,54997,64113,79646,54822,71528,37174,267445,55847,61466,53212,147238,61741,96862,67826,58681,66746,36373,61141,68992,84924,63761,89070,28875,51972,124087,70014,27873,89294,80466,58134,38263,61943,59582,78969,53120,180602,78041,44235,58937,53312,108391,16906,55216,47359,60485,85828,68233,83953,47074,36363,68517,190981,47227,23254,69058,74265,56659,77505,99088,1393785,72293,77688,63466,70593,57152,44762,96858,51070,93882,65273,57259,60928,40504,46154,49735,46433,84328,38603,18416,54998,46223,37486,21871,71152,16127,35448,31774,43860,46010,50008,47518,182123,44254,18442,47322,25918,48720,39575,48195,32453,40286,65551,69112,23886,54871,51187,45507,159033,27674,24445,55584,38050,19881,26945,55514,32449,61564,43679,34617,38735,63291,25505,29960,15166,17643,553,42734,34677,34369,48335,112015,43866,38523,75215,43698,28410,23782,55047,31546,59009,24681
"TCGA-A8-A09X-01A-11R-A00Z-07",1581959,737815,562425,587052,507606,411210,236150,223587,328174,251812,291425,275938,354227,381095,328370,204793,154952,161409,148983,278271,472664,256817,263996,223986,263328,215492,517273,293711,307367,332508,215416,261213,221754,242450,11901,224541,109426,199458,103156,352979,99749,224918,150742,174343,783991,72698,103011,197069,291996,82838,91061,122138,113752,177511,188169,116499,76788,322584,168604,265118,145503,166481,118951,112613,85632,257677,135613,119908,116754,161904,57994,196253,40183,299321,128652,90360,74342,126610,161474,95712,170726,103751,109518,171020,104135,84713,77961,87436,63616,160478,133728,79593,82883,87981,91877,78888,74780,159512,174497,118491,59569,172610,67301,103864,154334,93747,125856,139929,155404,141153,173713,110432,153543,101330,107366,62538,78657,116602,90843,40267,124768,151495,59916,79035,42271,26347,113027,83765,106946,102561,91631,128017,69038,88091,54271,62469,35771,68297,83271,55521,78638,63619,87491,33622,112656,57489,138170,105614,64048,113920,82386,54958,64244,95582,123303,103112,46123,91329,56894,81547,83371,47096,77109,69753,144963,81315,267049,29861,41569,148770,51575,140164,119980,64178,88346,108225,50488,28259,47091,62042,49618,33768,37578,46135,1669,44893,64747,62140,106073,106004,125854,95249,1694,99427,39294,96750,59463,67290,74036,15910
"TCGA-A8-A0A1-01A-11R-A00Z-07",929684,927984,349869,598663,607074,466627,265823,322101,206134,286579,164061,316580,206958,179040,149978,312824,231815,65657,135238,90904,113068,227424,72707,97417,109030,50002,103458,84873,229793,439269,91119,125635,94990,75415,169181,94861,78362,125127,85823,74871,58943,113502,180392,197107,3871,75292,66625,71467,74614,22660,145641,88474,141706,55715,73580,121519,188235,61809,77039,80935,76755,67828,81578,46196,127563,151054,58145,61928,126064,58026,266402,65161,67288,72033,56821,55084,52895,51892,131560,53610,68437,132512,38314,291730,46310,78091,61149,63459,116894,47305,59444,59788,53363,61020,62136,78456,62062,44216,43091,31776,67379,56304,62056,59262,50913,68162,40822,48691,53636,44824,103892,38457,71613,38919,37102,64628,54579,63333,225866,35491,47370,43373,49857,47531,43157,81049,64079,78126,45589,47262,42653,60087,52803,35129,60691,29452,58513,41087,46027,54285,41246,74606,75588,43483,53706,89545,36801,27736,54310,37855,26323,39863,76801,28990,34174,30811,56210,41066,28222,74832,41647,40978,39381,60654,172780,37741,25416,62414,75251,37689,42872,35070,39719,37730,66168,33519,31567,52080,31932,43456,48127,52322,54460,96324,1582,43451,29165,48517,21691,34687,32867,29372,124954,45966,37063,20088,60191,34262,34608,73361
"TCGA-A8-A0A2-01A-11R-A034-07",1950634,1305593,638906,649876,1028909,770182,524219,332405,278587,500665,294642,202032,378835,198623,305091,349588,826378,236188,210932,154850,219467,184173,171714,210970,143295,177337,264438,180149,127060,259224,185685,185255,195503,193776,360266,185651,157252,281417,248226,124827,156381,222768,112679,157372,784997,119230,128405,148468,130482,502505,200467,128956,183486,177680,166673,88437,186079,129977,118372,163367,136016,138558,136212,116374,94995,166332,103962,103691,92566,97950,670463,74425,174048,141954,70688,127577,109068,109987,122251,84533,97037,77438,120437,54839,74221,91707,62762,143236,119418,101437,94140,111905,71999,83129,104037,167544,81655,110493,54839,93857,82491,103936,52394,83221,80544,88275,99922,150666,82572,62727,112305,83075,320896,68971,71374,124934,57107,202942,1566594,72827,83851,110617,51911,70492,85656,137653,54458,161025,63219,100340,76441,109537,78933,85378,125173,27824,123274,79485,112303,94943,41591,144237,113795,56612,107382,158854,53897,85276,107462,105545,124588,99517,96762,53476,83519,56671,74040,60389,84732,86118,42360,103237,84111,61056,125995,70002,103048,244716,84787,60567,125317,62465,82832,74984,88127,66879,55110,85423,93412,56654,121170,60355,128844,126050,56549,79204,57915,104216,57465,148385,62978,53560,302683,78293,78725,47147,82597,75473,54010,133509
"TCGA-A8-A0A4-01A-11R-A00Z-07",1055069,321504,392675,119789,232014,248043,304657,238990,172671,129973,267578,138621,418922,194181,192124,416625,115824,117575,150554,203703,202838,156768,100741,232921,188757,141970,107936,158179,106403,119901,214765,96832,169144,113135,190269,212220,116948,155203,53798,155629,51597,138616,93413,158686,84492,122541,100197,137045,143419,36389,87237,89300,77606,69607,119412,129198,26209,106782,114585,131707,121525,124984,193853,97174,80921,106770,102752,275747,132262,245341,211510,146547,59590,107934,99240,60287,78621,101858,67615,450246,75586,79373,61302,136801,86823,378008,285829,69638,89013,77048,59687,66484,54900,57157,76767,124778,293618,69062,48515,51301,60199,74212,69371,64670,48044,137535,74000,72832,96510,79875,106677,49979,116299,81209,66549,65984,48787,124062,52346,44533,96802,111657,58837,43814,47203,57314,80779,142613,47665,77699,42255,103187,49242,64078,102929,70244,65487,76838,65499,56453,64289,80957,33607,147738,69163,107357,54925,68626,43159,66631,6436,47211,82301,44394,53731,36395,54440,76518,42584,95787,36847,60317,58442,30744,38577,53902,93582,152092,63057,53203,55289,65465,83402,37553,122718,54155,47308,35614,76449,71255,6239,49909,41476,42266,14765,68228,51094,47378,61531,29978,60409,58847,60393,103497,41337,33557,58818,64240,48821,59471
"TCGA-A8-A0A6-01A-12R-A056-07",985122,156825,302632,257264,158320,145297,277450,154746,250867,135336,188775,955237,165857,213657,142234,133788,205435,102896,76121,134033,93514,201006,88270,103009,81832,108133,114586,104899,163935,300050,102075,93184,143533,86731,124308,106851,170503,82278,192930,71574,83701,146549,336364,55904,847562,168873,88200,74366,72949,133824,101557,154553,57399,71245,95129,75016,82269,72792,95741,70572,73297,105743,87023,47030,186932,92298,71835,102154,58922,66966,146196,55296,130862,72026,73588,77127,62451,59939,95067,92048,55129,279997,55665,160255,52468,53757,62559,65503,55551,59524,68585,62074,72164,130210,56186,49866,109314,56703,79961,50799,58737,57156,40259,37866,58019,64145,44461,73149,50301,77449,66400,46372,124760,49906,45974,60350,63818,32196,22986,42700,39254,48998,80091,255244,69238,69670,84052,43510,38883,46075,84578,47753,64354,43538,51849,37526,52032,42728,48785,34863,54616,31909,35258,39985,40563,28324,42492,41749,60406,49046,16137,73950,29184,41309,47252,50466,54326,52138,98177,24972,28551,57322,41256,43558,142578,44077,26764,92296,53573,36452,52611,34283,42451,43722,35104,34852,44111,45579,56709,26669,77157,85943,45056,19514,17400,29852,34765,52580,32864,56773,35984,33981,63886,36942,44278,33702,97171,39216,34730,42327
"TCGA-A8-A0A7-01A-11R-A00Z-07",1488503,1001443,656357,760604,758850,901291,280990,317421,392036,365288,255068,701270,208385,222544,210030,190636,93421,188230,140141,178893,186520,454624,121078,221957,216233,173497,906002,144970,505581,579418,181671,265526,212988,177905,67677,125092,183974,165192,246324,125463,173030,205188,484113,269381,4806523,78559,116704,236715,99177,91516,65335,127760,176410,131285,120497,127611,114543,110104,122671,117201,94540,149171,127573,112924,306504,371803,153223,98013,175237,120224,82861,116077,80635,76393,80424,107432,81094,94889,182524,87539,126022,295405,78488,361686,70035,166495,76636,86096,56409,81185,105171,63952,72209,83477,178943,97564,50779,75281,107823,120306,35578,72202,153056,124931,104835,87139,61247,644601,98443,129446,212252,78619,5567,87763,101187,54931,98519,212009,66371,76734,61202,71767,129884,68717,65216,16165,126078,124974,62248,57232,67449,67754,63837,73098,40321,63371,73605,81575,59249,134468,55480,50036,164810,74504,60481,21843,76855,57430,76482,88220,151009,67836,82522,76424,73417,97882,59508,88827,58111,146568,56692,49464,58578,49295,336387,84761,193843,45012,75088,79293,37895,52947,58221,42125,171022,56027,64217,42122,152067,53881,56484,98324,32478,53073,30955,47653,59340,48148,86658,47817,75656,94757,5842,47401,42755,63219,89559,93899,38787,8539
"TCGA-A8-A0A9-01A-11R-A00Z-07",1829684,1209739,791065,972566,767774,678001,748225,641530,285548,337804,249319,236518,609937,354265,370248,345240,544598,277768,296798,132529,182758,223267,168424,286024,188342,155845,310337,188938,316151,190233,242291,158133,208919,188843,375693,168348,354895,299230,176291,293679,119579,189677,171315,219567,51516,141216,147986,237363,131111,171890,294279,152571,238612,167102,147059,119293,253139,111681,156130,223419,183156,161727,239125,118438,131883,295755,161979,240032,118777,167768,573628,194328,119688,81820,142855,169697,85861,108157,188728,128539,125603,107672,89713,246211,100287,125993,143063,117054,222594,125451,155846,109785,139868,77886,105879,194846,141061,111386,71100,94395,94643,111340,121594,114666,99670,139543,124152,169191,83540,87653,234989,98387,60277,86242,85615,103209,88878,102219,1180818,91369,90736,133749,104847,79129,86378,81867,43842,213681,97140,110197,138035,103725,93846,74770,87461,48689,98908,67257,108051,68527,106123,179226,80380,108359,100823,148978,89493,90240,78948,92380,115735,116623,133017,51891,90342,67765,129586,81423,61652,102168,94199,96976,102778,86900,64141,70218,79461,177981,31024,77066,78737,96131,74926,77509,145981,75253,48989,72425,72297,81504,48542,47111,85890,121501,3856,90095,69102,122176,61700,80867,127766,77162,359490,91991,89996,42329,98174,89120,59372,130429
"TCGA-A8-A0AB-01A-11R-A034-07",1790350,701103,534929,757786,552536,510713,776398,344214,183980,235935,237228,56514,398768,251959,278090,525440,422328,268770,289627,190264,240800,200168,202914,237008,266096,218105,269243,195505,111565,54598,160957,187589,287568,196135,989632,195810,132867,238959,210043,244449,146406,319281,22549,220653,49269,443029,192353,136397,132306,709846,211385,130565,240263,139811,164740,71178,258406,130851,117702,132523,171519,136246,164250,177590,19858,145998,129487,120852,112062,99767,224530,133526,217796,176787,137147,104229,120884,105949,142092,95055,141647,23815,109756,42354,115075,148070,57492,151730,110037,115593,135821,139544,106248,116662,156685,179493,68368,122339,117206,89695,319338,112801,73294,111209,112354,105724,84126,70193,72548,52490,95273,123288,203942,71352,74569,144248,44966,233439,179949,108791,111901,93392,129692,141100,93183,92660,42080,137101,78964,117049,111050,135703,86678,66268,179154,129845,89100,61246,96482,37445,111960,177797,52890,111105,104065,184554,105844,105820,137184,101748,9983,106952,70042,63820,79426,83505,126890,89253,35585,54927,67852,200764,94937,99604,25632,73504,119407,109498,72013,68281,88044,73813,85577,74401,82842,68845,126380,145487,46337,110179,139676,31985,115498,83553,3858,66318,64222,113024,84479,123541,70598,68305,41132,79051,55938,36285,67092,61488,71937,172871
"TCGA-A8-A0AD-01A-11R-A056-07",768146,1333538,347356,905027,1184848,923045,317172,267212,157697,551734,229738,154752,207659,150087,199969,247928,237560,164941,100719,101595,131291,136183,96588,115592,105894,170713,158065,96506,153728,223697,126114,134051,115422,99143,30905,72867,36476,166660,156688,112722,87946,108403,54617,87550,9517,120863,65923,79118,100720,1324,117427,119387,171361,61892,68116,120784,306892,53859,202109,63824,83520,48882,68355,64446,46739,51127,63422,58286,122128,89504,54213,65761,51464,54268,44835,82101,68282,75116,84244,67955,74965,93191,45554,99876,57159,79484,75643,61800,130615,63684,63189,70324,62382,69991,105989,50858,58774,58379,29093,45908,37367,55664,59872,63835,53369,78614,51768,62548,55063,59604,63467,62925,42036,48309,32941,58969,105638,76152,33877,84727,66044,49938,40074,75277,70691,191625,46054,37110,35078,64484,37510,63566,38909,44214,63645,90811,75786,66019,50382,104323,28816,65414,125362,91589,68945,67327,51313,47740,77393,43469,60196,45236,143113,30740,34472,35629,39082,36026,45316,59426,33001,37573,44139,43415,96659,43949,55458,68196,102544,47547,35623,35454,47635,58620,78730,36382,29657,48646,52825,48475,71152,48197,62188,172765,31247,56161,36111,39998,44307,115492,32621,41484,116263,51449,39340,46541,33183,40714,42603,33306
"TCGA-AC-A23C-01A-12R-A169-07",699167,346401,204195,333379,349811,275423,96129,270722,146812,174462,143943,206452,80118,67516,54108,141346,245867,150785,127570,43749,49698,86871,50450,30860,52234,32874,47095,45740,52491,111045,44408,114035,47475,32425,75172,58950,44617,69520,48470,23585,68247,74617,100840,40355,254205,41106,61084,16244,27441,115062,77424,102773,83820,57356,31984,46192,94063,20905,36597,24343,41501,21206,81181,54450,82871,36205,22546,59212,68549,48013,179181,17001,98485,25075,19411,69182,52456,21651,38617,42987,28008,60281,31190,30354,23910,20466,47063,57015,73804,37199,22931,47408,41799,64305,101128,24108,54739,18799,50572,27319,135320,31385,24771,43348,26857,64464,16686,29406,22703,26448,24483,32214,55635,13418,22402,62258,37766,57972,317904,25732,44340,27647,28227,42977,45052,457262,28273,17820,15137,9418,42947,33486,69655,32707,57457,15544,36266,32540,38092,49552,15347,36947,70548,24651,35294,10358,17429,19361,28148,14659,25040,52025,22391,17639,12910,17738,29489,33522,33528,36886,22642,49644,11922,34392,58998,14644,15412,50235,19783,33874,23180,12265,29114,19368,33740,12219,31367,38088,39232,26011,43090,34626,41592,24978,71557,37549,15588,39575,11967,24732,11991,8478,54288,28731,15493,17260,29573,13395,30564,23856
"TCGA-AC-A23E-01A-11R-A157-07",2332711,1249280,483997,2872129,1394236,1194375,391569,264442,325648,720655,178418,167187,321219,423320,322008,277787,337289,189888,172247,272827,139577,170805,172137,197884,194098,236293,237451,257682,157081,152681,223740,198229,202995,171692,415821,112374,91069,195021,163593,181493,82186,149914,94023,243200,6004,123861,117335,109334,180092,211001,281666,111637,354319,80025,127656,176105,292167,152802,69883,156159,165799,120262,137188,108405,83912,96122,109377,104532,129077,102530,349825,113633,82684,65822,81143,93797,177014,107879,152854,92748,90754,52965,102080,107991,91200,119143,127706,48160,667853,104413,104933,86206,140180,77034,86898,70059,65013,88011,74336,67697,162675,95800,153630,57529,83688,95441,115145,92610,90527,70278,75180,106502,53483,58130,64521,68065,155034,66553,353710,44895,69726,99450,55858,59176,73085,101846,70008,67798,80993,79795,72919,108673,47157,59726,59331,57096,52914,260675,75354,234614,72465,66232,286128,118045,73410,74544,87851,99017,65587,88250,139179,47146,97217,57475,46468,75826,53618,67547,49906,132062,53772,56701,74774,53635,83421,74191,61159,68768,51646,52198,46513,66245,62021,64198,185916,63384,44411,73571,53144,53065,53539,55534,41683,101541,58038,62169,68392,69889,73773,18434,57639,46856,163007,86074,46413,53003,58448,58389,54499,47551
"TCGA-AC-A23H-11A-12R-A157-07",2167333,132473,285985,74804,256238,179784,198491,244493,402910,178254,162279,206667,168792,94882,237135,370221,64630,121224,115275,279439,169993,137087,149045,165867,184899,183047,183335,224902,124245,91696,192001,79104,279719,207364,713957,194611,91284,73971,118195,97818,67388,89059,65590,32340,165789,167387,62949,74137,125548,89829,81023,75208,96400,60732,171483,256555,32336,135822,87786,147155,93971,195141,81457,70620,44087,14520,127239,67151,35790,35133,32723,98140,40100,119702,77988,89053,87473,99845,39897,32300,49585,41989,153928,23888,112666,62590,39805,30562,190407,74383,110610,50313,52354,85588,43596,22011,42275,120086,39315,88894,50191,100161,53177,27453,93525,45474,88016,37948,107324,90530,11208,111026,50897,84625,110524,41450,34917,26775,238663,64510,39356,122288,49095,63852,47919,27817,139486,7397,121603,79431,30570,81648,39870,125455,31183,51576,72642,20574,36160,578458,88083,42551,82530,48758,59670,20456,90303,96261,49948,85726,62247,22881,48670,88030,78571,99812,29541,114899,115617,32618,37683,53324,85643,21014,52170,86226,13538,16136,232516,39545,44782,78847,87965,73172,44561,84545,41999,53327,54804,32587,41154,72364,50761,34503,37101,35231,69661,36152,58683,109040,55910,40301,39396,58171,51743,87723,39612,43940,33432,13026
"TCGA-AC-A23H-01A-11R-A157-07",432999,644017,475062,817993,518086,480028,255445,336016,180891,311892,241204,74664,101970,123930,127237,199048,305053,219059,306634,77389,78264,143530,97095,52016,82754,57205,103601,77939,88554,29225,67959,186774,65890,70025,3523,49296,253436,123331,61731,59718,128852,131281,30653,94948,22400,178945,87399,70782,58977,222248,44204,152233,107317,71695,62629,55891,164107,39794,46505,42601,53799,47579,70623,81613,26269,173144,41862,69177,133770,61284,49106,41940,65034,52549,26993,105876,78927,32089,57856,61223,101659,15748,30949,86142,51429,162385,64463,63214,147452,70086,28673,67420,96266,72607,470549,80527,50889,44895,99049,35968,90968,58404,92722,149683,57377,65436,27228,80964,44061,37536,72530,24962,75834,40447,25996,67750,85950,65259,34709,52598,75348,31564,68057,135527,86945,25045,20500,71305,34703,51323,50581,29452,100021,32282,64599,63129,64870,30055,42765,41347,16965,52007,62891,14615,44007,33176,26050,28811,76671,26624,55893,52669,33483,25535,28542,37828,41481,32933,30138,71006,68426,56951,19000,48189,18761,27108,105776,66536,54617,58125,63776,25785,33902,34091,51762,35171,43607,79751,60011,50199,34616,36699,46746,19782,241584,28543,38959,55218,25886,406065,24477,25417,15529,29955,27527,18860,57578,21078,58666,35023
"TCGA-AC-A2B8-01A-11R-A17B-07",1358099,713253,404308,815442,657891,624859,343421,201109,205373,357557,161112,224503,218503,144038,189933,330207,224505,103320,120977,148739,131747,179618,118826,122926,121912,121416,133648,122451,128442,278094,124829,93578,132348,110790,61680,121543,68395,165223,125886,128520,84571,90652,124643,87094,34570,99761,73358,41104,104573,91112,252854,116420,224236,66745,91799,123226,191919,79493,61293,81020,95873,84526,65431,71481,86955,89628,80904,66932,99457,51961,145624,78910,117919,81893,67944,83189,88464,75637,108436,57374,61577,59712,81195,122539,62713,133668,47058,59488,164301,57281,78629,77176,74673,69720,67038,38092,46919,60824,65338,56630,120064,57666,70456,58775,62851,71940,53236,73332,68464,51378,63960,70364,14952,47336,45964,65430,85409,57620,53288,57829,47372,60973,54487,61809,45896,92392,108458,34461,66922,53861,57223,77054,56579,55176,76101,27121,54410,108544,51897,97635,52927,94588,115489,74147,51847,76358,73990,65022,58374,47419,51174,53670,71916,47846,46756,39170,64787,55505,57143,66460,51468,76605,56414,55476,136616,51830,33545,39160,86333,43393,54379,44637,51046,42918,78352,48616,41675,54125,43129,40536,46153,50023,59266,74963,27197,60338,37292,56083,46505,41295,41126,40915,69926,40685,27183,28714,43272,45585,36091,39655
"TCGA-AC-A2FB-11A-13R-A17B-07",1789121,72101,405163,72045,179316,92923,233945,202320,296629,201206,243905,365330,235244,112287,289086,451888,85561,114456,109272,206903,159829,183462,105043,193198,195290,159050,168900,190038,175431,219105,178771,88069,193155,164463,571587,175296,93145,143577,158498,98994,65293,94751,148138,57568,624300,149239,67474,102955,132325,33503,88953,82018,60822,66840,142855,278319,24732,118547,94189,132379,100961,150003,73057,63205,99486,26292,131690,74853,57534,49998,33031,112312,41458,106264,94743,117043,101441,108675,58769,46349,57384,132098,126791,41412,87149,134656,50528,44426,189110,59706,87851,59374,62611,90623,41782,32281,47845,101336,58622,75881,50342,79540,64233,42481,81094,54170,85656,80573,106064,83033,19133,84815,104058,102390,91761,39921,53403,38303,125269,69254,49917,98032,56873,64667,57797,44578,189916,13149,94992,73463,46968,94087,53498,95200,39498,68491,71259,29015,38958,539478,74915,37291,76476,95672,62599,44376,64348,81057,66056,76209,72366,32158,79955,69442,71181,62230,29210,93845,103511,19743,42697,46393,78054,24078,81761,78774,18176,26802,315322,42779,48856,66434,72984,59235,45555,72918,46705,54253,56666,33852,45501,95522,36458,42795,32011,39993,59203,44825,60500,104942,60737,56981,37942,46210,55310,75231,55974,68651,30811,10532
